Religion,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Uniting Church,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35854.2,71708.4,107562.6,143416.8,179271.0,208888.8,238506.6,268124.4,297742.2,327360.0,336286.2,345212.4,354138.6,363064.8,371991.0,370094.4,368197.8,366301.2,364404.6,362508.0,356993.6,351479.2,345964.8,340450.4,334936.0,327817.2,320698.4,313579.6,306460.8,299342.0,293691.4,288040.8,282390.2,276739.6,271089,260322.8,249556.6,238790.4,228024.2,217258
Presbyterian,72545.0,76231.8,79918.6,83605.4,87292.2,90979.0,94665.8,98352.6,102039.4,105726.2,109413.0,111734.1,114055.2,116376.3,118697.4,121018.5,123339.6,125660.7,127981.8,130302.9,132624.0,137651.0,142678.0,147705.0,152732.0,157759.0,162786.0,167813.0,172840.0,177867.0,182894.0,186597.8,190301.6,194005.4,197709.2,201413.0,205116.8,208820.6,212524.4,216228.2,219932.0,223064.5,226197.0,229329.5,232462.0,235594.5,238727.0,241859.5,244992.0,248124.5,251257.0,254389.5,257522.0,257853.7143,258185.4286,258517.1429,258848.8571,259180.5714,259512.2857,259844.0,260175.7143,260507.4286,260839.1429,261170.8571,261502.5714,261834.2857,262166.0,267997.1429,273828.2857,279659.4286,285490.5714,291321.7143,297152.8571,302984.0,307362.7143,311741.4286,316120.1429,320498.8571,324877.5714,329256.2857,333635.0,337524.8,341414.6,345304.4,349194.2,353084.0,352888.6,352693.2,352497.8,352302.4,352107.0,343725.4,335343.8,326962.2,318580.6,310199.0,298704.2,287209.4,275714.6,264219.8,252725.0,247712.6,242700.2,237687.8,232675.4,227663.0,236249.8,244836.6,253423.4,262010.2,270597.0,266745.4,262893.8,259042.2,255190.6,251339.0,248415.0,245491.0,242567.0,239643.0,236719.0,233203.4,229687.8,226172.2,222656.6,219141.0,217707.2,216273.4,214839.6,213405.8,211972,207244.2,202516.4,197788.6,193060.8,188333
Other Christian,14739.0,14127.3,13515.6,12903.9,12292.2,11680.5,11068.8,10457.1,9845.4,9233.7,8622.0,8841.7,9061.4,9281.1,9500.8,9720.5,9940.2,10159.9,10379.6,10599.3,10819.0,10304.9,9790.8,9276.7,8762.6,8248.5,7734.4,7220.3,6706.2,6192.1,5678.0,5913.7,6149.4,6385.1,6620.8,6856.5,7092.2,7327.9,7563.6,7799.3,8035.0,8646.333333,9257.666667,9869.0,10480.33333,11091.66667,11703.0,12314.33333,12925.66667,13537.0,14148.333330000001,14759.666669999999,15371.0,15667.28571,15963.571430000002,16259.85714,16556.14286,16852.42857,17148.71429,17445.0,17741.28571,18037.57143,18333.85714,18630.14286,18926.42857,19222.71429,19519.0,19911.71429,20304.42857,20697.14286,21089.85714,21482.57143,21875.28571,22268.0,23391.14286,24514.28571,25637.42857,26760.57143,27883.714289999996,29006.857139999996,30130.0,31381.2,32632.4,33883.6,35134.8,36386.0,39335.6,42285.2,45234.8,48184.4,51134.0,54790.2,58446.4,62102.6,65758.8,69415.0,71725.8,74036.6,76347.4,78658.2,80969.0,86552.2,92135.4,97718.6,103301.8,108885.0,98056.8,87228.6,76400.4,65572.2,54744.0,56360.8,57977.6,59594.4,61211.2,62828.0,66616.0,70404.0,74192.0,77980.0,81768.0,67261.4,52754.8,38248.2,23741.6,9235.0,33511.6,57788.2,82064.8,106341.4,130618,138970.8,147323.6,155676.4,164029.2,172382
Baptist,7307.0,7887.5,8468.0,9048.5,9629.0,10209.5,10790.0,11370.5,11951.0,12531.5,13112.0,13462.6,13813.2,14163.8,14514.4,14865.0,15215.6,15566.2,15916.8,16267.4,16618.0,17024.1,17430.2,17836.3,18242.4,18648.5,19054.6,19460.7,19866.8,20272.9,20679.0,21083.3,21487.6,21891.9,22296.2,22700.5,23104.8,23509.1,23913.4,24317.7,24722.0,25160.25,25598.5,26036.75,26475.0,26913.25,27351.5,27789.75,28228.0,28666.25,29104.5,29542.75,29981.0,30334.857139999996,30688.714289999996,31042.57143,31396.42857,31750.285710000004,32104.142860000004,32458.0,32811.85714,33165.714289999996,33519.57143,33873.42857,34227.285710000004,34581.14286,34935.0,35699.0,36463.0,37227.0,37991.0,38755.0,39519.0,40283.0,41786.14286,43289.285710000004,44792.42857,46295.57143,47798.714289999996,49301.85714,50805.0,51798.6,52792.2,53785.8,54779.4,55773.0,56526.6,57280.2,58033.8,58787.4,59541.0,59165.8,58790.6,58415.4,58040.2,57665.0,59064.6,60464.2,61863.8,63263.4,64663.0,65167.8,65672.6,66177.4,66682.2,67187.0,71933.2,76679.4,81425.6,86171.8,90918.0,92023.4,93128.8,94234.2,95339.6,96445.0,96541.2,96637.4,96733.6,96829.8,96926.0,96834.8,96743.6,96652.4,96561.2,96470.0,97151.0,97832.0,98513.0,99194.0,99875,98828.6,97782.2,96735.8,95689.4,94643
Pentecostal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7,1.4,2.1,2.8,3.5,4.2,4.9,5.6,6.3,7.0,8.1,9.2,10.3,11.4,12.5,13.6,14.7,15.8,16.9,18.0,16.2,14.4,12.6,10.8,9.0,7.2,5.4,3.6,1.8,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1417.2,2834.4,4251.6,5668.8,7086.0,8525.0,9964.0,11403.0,12842.0,14281.0,16279.4,18277.8,20276.2,22274.6,24273.0,26940.6,29608.2,32275.8,34943.4,37611.0,39409.6,41208.2,43006.8,44805.4,46604.0,48684.4,50764.8,52845.2,54925.6,57006.0,59393.6,61781.2,64168.8,66556.4,68944.0,70510.0,72076.0,73642.0,75208.0,76774,77485.2,78196.4,78907.6,79618.8,80330
Eastern Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,56.1,112.2,168.3,224.4,280.5,336.6,392.7,448.8,504.9,561.0,515.6,470.2,424.8,379.4,334.0,288.6,243.2,197.8,152.4,107.0,96.3,85.6,74.9,64.2,53.5,42.8,32.1,21.4,10.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4161.857143,8323.714286,12485.57143,16647.42857,20809.28571,24971.14286,29133.0,33235.714289999996,37338.42857,41441.14286,45543.85714,49646.57143,53749.285710000004,57852.0,65602.8,73353.6,81104.4,88855.2,96606.0,103120.4,109634.8,116149.2,122663.6,129178.0,132054.0,134930.0,137806.0,140682.0,143558.0,149132.0,154706.0,160280.0,165854.0,171428.0,170274.2,169120.4,167966.6,166812.8,165659.0,168634.4,171609.8,174585.2,177560.6,180536.0,182248.0,183960.0,185672.0,187384.0,189096.0,191480.4,193864.8,196249.2,198633.6,201018.0,203401.4,205784.8,208168.2,210551.6,212935.0,214428.0,215921.0,217414.0,218907.0,220400,190495.8,160591.6,130687.4,100783.2,70879
Jehovah's Whitnesses,,2.4,4.8,7.2,9.6,12.0,14.4,16.8,19.2,21.6,24.0,22.8,21.6,20.4,19.2,18.0,16.8,15.6,14.4,13.2,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,19.8,17.6,15.4,13.2,11.0,8.8,6.6,4.4,2.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2126.0,4252.0,6378.0,8504.0,10630.0,10831.0,11032.0,11233.0,11434.0,11635.0,12356.2,13077.4,13798.6,14519.8,15241.0,16013.0,16785.0,17557.0,18329.0,19101.0,19544.8,19988.6,20432.4,20876.2,21320.0,21851.0,22382.0,22913.0,23444.0,23975.0,23808.8,23642.6,23476.4,23310.2,23144.0,23044.4,22944.8,22845.2,22745.6,22646.0,26428.8,30211.6,33994.4,37777.2,41560,41287.8,41015.6,40743.4,40471.2,40199
Judaism,3266.0,3487.8,3709.6,3931.4,4153.2,4375.0,4596.8,4818.6,5040.4,5262.2,5484.0,5580.3,5676.6,5772.9,5869.2,5965.5,6061.8,6158.1,6254.4,6350.7,6447.0,6568.3,6689.6,6810.9,6932.2,7053.5,7174.8,7296.1,7417.4,7538.7,7660.0,7909.0,8158.0,8407.0,8656.0,8905.0,9154.0,9403.0,9652.0,9901.0,10150.0,10162.91667,10175.83333,10188.75,10201.66667,10214.58333,10227.5,10240.41667,10253.33333,10266.25,10279.16667,10292.08333,10305.0,10511.35714,10717.71429,10924.07143,11130.42857,11336.78571,11543.14286,11749.5,11955.85714,12162.21429,12368.57143,12574.92857,12781.28571,12987.64286,13194.0,14106.71429,15019.428569999998,15932.14286,16844.85714,17757.57143,18670.28571,19583.0,20217.71429,20852.42857,21487.14286,22121.85714,22756.57143,23391.28571,24026.0,24403.4,24780.8,25158.2,25535.6,25913.0,25924.6,25936.2,25947.8,25959.4,25971.0,25116.8,24262.6,23408.4,22554.2,21700.0,22394.8,23089.6,23784.4,24479.2,25174.0,25786.4,26398.8,27011.2,27623.6,28236.0,28504.2,28772.4,29040.6,29308.8,29577.0,30192.0,30807.0,31422.0,32037.0,32652.0,32990.6,33329.2,33667.8,34006.4,34345.0,34819.2,35293.4,35767.6,36241.8,36716.0,37318.8,37921.6,38524.4,39127.2,39730,39164.4,38598.8,38033.2,37467.6,36902
Other Protestant,78680.0,84502.8,90325.6,96148.4,101971.2,107794.0,113616.8,119439.6,125262.4,131085.2,136908.0,139479.1,142050.2,144621.3,147192.4,149763.5,152334.6,154905.7,157476.8,160047.9,162619.0,163762.2,164905.4,166048.6,167191.8,168335.0,169478.2,170621.4,171764.6,172907.8,174051.0,177067.1,180083.2,183099.3,186115.4,189131.5,192147.6,195163.7,198179.8,201195.9,204212.0,205804.0,207396.0,208988.0,210580.0,212172.0,213764.0,215356.0,216948.0,218540.0,220132.0,221724.0,223316.0,226377.5,229439.0,232500.5,235562.0,238623.5,241685.0,244746.5,247808.0,250869.5,253931.0,256992.5,260054.0,263115.5,266177.0,270504.2857,274831.5714,279158.8571,283486.1429,287813.4286,292140.7143,296468.0,299219.1429,301970.2857,304721.4286,307472.5714,310223.7143,312974.8571,315726.0,318330.8,320935.6,323540.4,326145.2,328750.0,327751.6,326753.2,325754.8,324756.4,323758.0,316697.6,309637.2,302576.8,295516.4,288456.0,262386.2,236316.4,210246.6,184176.8,158107.0,127902.8,97698.6,67494.4,37290.2,7086.0,6366.4,5646.8,4927.2,4207.6,3488.0,2790.4,2092.8,1395.2,697.6,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,3092.2,6184.4,9276.6,12368.8,15461,18232.6,21004.2,23775.8,26547.4,29319
Oriental Orthodox,,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,1504.0,3008.0,4512.0,6016.0,7520.0,9359.0,11198.0,13037.0,14876.0,16715.0,17833.4,18951.8,20070.2,21188.6,22307.0,22862.0,23417.0,23972.0,24527.0,25082.0,24204.8,23327.6,22450.4,21573.2,20696.0,21297.0,21898.0,22499.0,23100.0,23701,24321.6,24942.2,25562.8,26183.4,26804
